generation, best fitness, average fitness 
0, 12, 8.1
1, 12, 10.3
2, 12, 10.6
3, 13, 11.3
4, 13, 11.8
5, 14, 12.6
6, 14, 12.7
7, 15, 13.1
8, 15, 13.8
9, 15, 14.3
10, 15, 14.4
11, 16, 14.3
12, 16, 14.9
13, 17, 15.4
14, 17, 15.1
15, 17, 15.8
16, 17, 15.8
17, 17, 16.1
18, 17, 16.0
19, 18, 16.8
20, 18, 17.2
21, 19, 17.4
22, 19, 16.9
23, 21, 17.5
24, 21, 18.4
25, 21, 19.2
26, 23, 19.8
27, 25, 21.4
28, 28, 22.5
29, 28, 22.8
30, 28, 23.4
31, 28, 24.8
32, 28, 25.7
33, 29, 25.8
34, 29, 27.0
35, 39, 29.8
36, 39, 31.3
37, 39, 34.3
38, 49, 36.5
39, 79, 43.2
40, 85, 46.1
41, 85, 46.8
42, 85, 56.7
43, 87, 60.7
44, 87, 67.3
45, 87, 68.3
46, 87, 78.1
47, 87, 59.9
48, 87, 59.5
49, 87, 52.8
50, 87, 57.4
